dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Lake Fryxell,12/29/01 0:00,SSSI-BM,FRYX-BASE,16.99,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,12/29/01 0:00,BMT13,ROCK,73.8,Lawson/?
LIMNO_LAKE_LEVELS,Lake Bonney,1/16/02 0:00,BMT20,BON-MET,62.62,Lawson/?
LIMNO_LAKE_LEVELS,Lake Fryxell,1/17/02 0:00,SSSI-BM,FRYX-BASE,17.45,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,1/30/02 0:00,BMT13,ROCK,74.13,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,11/3/02 0:00,BMT13,ROCK,74.1,Doran/Mazzuchi
LIMNO_LAKE_LEVELS,Lake Fryxell,11/10/02 0:00,BMT9,BMT9,17.34,lawson/glenday
LIMNO_LAKE_LEVELS,Lake Vida,11/22/02 0:00,,NZBM 350.00m,348.86,doran
LIMNO_LAKE_LEVELS,Lake Bonney,11/23/02 0:00,BMT20,BON-MET,62.65,Lawson/Wagner
LIMNO_LAKE_LEVELS,Don Juan Pond,11/26/02 0:00,,DVDP pipe 200.00m,198.53,
LIMNO_LAKE_LEVELS,Lake Vanda,11/26/02 0:00,,Astro A 94.52m old datum,92.92,lawson/glenday
LIMNO_LAKE_LEVELS,Lake Bonney,12/31/02 0:00,BMT20,BON-MET,62.62,Stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,1/30/03 0:00,BMT9,BMT9,17.56,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,11/11/03 0:00,BMT13,ROCK,74.03,Doran/Allen
LIMNO_LAKE_LEVELS,Lake Fryxell,11/17/03 0:00,BMT9,BMT9,17.34,doran/elwood
LIMNO_LAKE_LEVELS,Lake Bonney,11/19/03 0:00,BMT20,BON-MET,62.68,Doran/Allen
LIMNO_LAKE_LEVELS,Don Juan Pond,11/24/03 0:00,,DVDP pipe 200.00m,198.45,
LIMNO_LAKE_LEVELS,Lake Vanda,11/24/03 0:00,,Astro A 94.52m old datum,92.75,doran
LIMNO_LAKE_LEVELS,Lake Fryxell,1/21/04 0:00,BMT9,BMT9,17.36,jjaros/?
LIMNO_LAKE_LEVELS,Lake Bonney,1/29/04 0:00,BMT20,BON-MET,62.98,jaros/?
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/04 0:00,BMT13,ROCK,74.08,Jaros/?
LIMNO_LAKE_LEVELS,Lake Hoare,11/13/04 0:00,BMT13,ROCK,73.95,Doran/Grom/Anglen
LIMNO_LAKE_LEVELS,Lake Hoare,11/14/04 0:00,BMT13,ROCK,73.99,Grom/Anglen
LIMNO_LAKE_LEVELS,Lake Bonney,11/19/04 0:00,BMT20,BON-MET,62.83,Grom/Brandy
LIMNO_LAKE_LEVELS,Lake Fryxell,11/21/04 0:00,BMT9,BMT9,17.26,doran/anglen
LIMNO_LAKE_LEVELS,Don Juan Pond,11/26/04 0:00,,DVDP pipe 200.00m,198.44,
