dataset_code,limno_run,location_name,location_code,date_time,depth_m,wire_corrected_depth_m,ctd_conductivity_mscm,ctd_temp_c,ctd_comments,filename
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.279,4.74,0.5927,0.734,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.378,4.839,0.6109,0.851,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.478,4.939,0.6327,0.959,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.569,5.03,0.6578,1.058,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.667,5.128,0.6821,1.143,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.763,5.224,0.7037,1.223,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.86,5.321,0.7262,1.295,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.956,5.417,0.7481,1.366,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.053,5.514,0.7772,1.437,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.16,5.621,0.8043,1.508,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.263,5.724,0.8344,1.584,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.363,5.824,0.8622,1.669,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.462,5.923,0.8892,1.761,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.562,6.023,0.9156,1.856,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.671,6.132,0.9405,1.95,,LIMNO_CTD_2324.CSV
