Temp_C, depth_m
0.05735287291815094, 0.022448299288143403
0.04464342226854345, 0.9804041537792836
0.11135537936359885, 2.177189658591749
0.547552840005233, 2.3173860390144565
0.9970167391735476, 2.553261965745238
1.4465312736034148, 2.884922928912306
1.9225027321943209, 3.2642654300410365
2.4647810657878617, 4.074113144491919
2.9805518399588156, 4.74049428454485
3.298212153306693, 5.647920367611993
3.4704986307381365, 6.5565068420897195
3.5371599525716375, 7.657507310465877
3.45862466190414, 9.094915797779638
3.063137951550493, 10.965888712134308
3.3137318609724495, 10.006034035334977
2.69357649511159, 11.878800281869621
1.9805560595639466, 13.081809704247872
1.373110144352693, 13.996620096291378
0.712876968973247, 15.055530003502263
0.22434796551738678, 15.921498466173528
-0.3829207262784302, 17.171556485744052
-0.9638084468055466, 18.325618488621824
-1.4655026182649822, 19.28747747785762
-1.9008392794602265, 20.77562671685184
-2.48137255315647, 22.600183974783647
-2.7448784542742457, 24.13485436032896
-3.1534543797391414, 26.2453953559026
-3.5092936802973953, 28.116051799872572
-3.812168497272018, 30.177856356202188
-4.075471857343586, 32.09566688749267
-4.338749899784371, 34.061369937001295
-4.588786821329255, 36.074860014599835
-4.693804353788569, 37.416694445733775
