Temp_C, depth_m
-0.00981544520600175, 0.80698835274542
-0.010456578485398382, 1.50582362728785
-0.011143506999037767, 2.254575707154743
-0.011601459341464171, 2.753743760399332
0.38729792852890443, 2.9534109816971714
0.7586285853852144, 3.202995008319461
0.9511517501412026, 3.3527454242928396
1.3223908165290275, 3.7021630615640553
1.762391427132151, 4.101497504159735
2.2710161962478446, 4.700499168053242
2.972072539651041, 5.549084858569058
3.8239554870323182, 6.996672212978383
3.3705597704132266, 6.198003327787034
4.2498740631058345, 7.7454242928452635
4.703223984490681, 8.594009983361067
5.060335221114657, 9.342762063227967
5.321161977743517, 10.041597337770394
5.609282693980984, 10.99001663893512
5.7738249706147275, 11.638935108153081
5.88318398998611, 12.437603993344442
6.033461051153276, 13.635607321131447
6.059839106077028, 14.88352745424294
6.031491856080845, 15.7820299500832
5.9478697583538125, 16.930116472545762
5.725946053214064, 18.826955074875208
5.504663481353708, 20.024958402662243
5.173060190202876, 21.47254575707155
4.855767909752859, 22.321131447587355
4.510769512586058, 23.369384359401007
4.276091834709738, 24.16805324459236
3.7247172144285505, 25.16638935108154
3.3247645361706057, 26.11480865224626
2.897288922132837, 27.063227953410994
2.46976751286083, 28.061564059900174
1.9873376177319138, 28.910149750415975
1.491146254713093, 29.758735440931787
0.9121113129493661, 30.906821963394343
0.20894838877100996, 32.35440931780367
-0.3286189683860222, 33.30282861896839
-1.0315071211589246, 34.450915141430954
-1.8862751682974865, 36.14808652246256
