location_name,date_time,depth_m,li_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,f_mgl,cl_mgl,br_mgl,so4_mgl
East Lake Bonney,2022-11-28,25,4.4,25988,1557,19614,881,,100502,973,2867
East Lake Bonney,2022-11-28,27,6.2,33901,2062,25052,943,,128282,1225,3083
East Lake Bonney,2022-11-28,30,7.7,42478,2699,28930,1020,,151371,1415,3169
East Lake Bonney,2022-11-28,35,8.7,47221,3020,30457,1087,,163356,1519,3292
East Lake Bonney,2022-11-28,39,9.1,50982,3014,30890,1060,,169103,1506,3411
East Lake Bonney,2022-11-28,41,6.6,73165,2389,23911,908,,195333,1454,3662
,,,,,,,,,,,
,,,,,,,,,,,
East Lake Bonney,2022-12-18,4.5,0.020,183,9.06,26.8,46.6,0.33,344,1.1,102
East Lake Bonney,2022-12-18,5,0.023,178,8.89,27.4,44.6,0.34,336,1.1,97.6
East Lake Bonney,2022-12-18,6,0.037,369,17.2,54.2,72.5,0.39,691,2.5,161
East Lake Bonney,2022-12-18,8,0.049,506,22.5,74.5,85.5,0.51,981,4.0,187
East Lake Bonney,2022-12-18,10,0.078,629,27.7,95.6,98.6,0.60,1228,5.4,213
East Lake Bonney,2022-12-18,12,0.098,868,40.1,142,117,0.66,1780,8.4,243
East Lake Bonney,2022-12-18,13,0.14,1124,54.3,198,138,0.67,2343,11.4,264
East Lake Bonney,2022-12-18,15,0.35,2965,144,672,266,,6617,41.9,461
East Lake Bonney,2022-12-18,18,1.1,7714,334,2028,509,,18359,113.2,1204
East Lake Bonney,2022-12-18,20,1.4,8960,491,3465,463,6,24985,198.5,1045
East Lake Bonney,2022-12-18,22,2.7,14006,814,8064,612,8,46467,425.2,1552
East Lake Bonney,2022-12-18,25,5.1,26127,1543,19550,828,30,99611,933.6,2821
East Lake Bonney,2022-12-18,30,8.2,43019,2669,29212,942,27,156250,1459.4,3119
East Lake Bonney,2022-12-18,35,8.9,48045,2998,30784,999,29,171210,1524.9,3312
East Lake Bonney,2022-12-18,41,7.4,72898,2396,25237,860,30,191582,1429.9,3500
,,,,,,,,,,,
,,,,,,,,,,,
West Lake Bonney,2022-11-23,3.5,,152,8,22,40,0.26,291,0.92,86.3
West Lake Bonney,2022-11-23,5,,209,10,30,52,0.34,395,1.2,114.1
West Lake Bonney,2022-11-23,6,0.0136,286,13,41,62,0.38,540,1.9,138.5
West Lake Bonney,2022-11-23,8,,419,16,57,70,0.44,799,2.7,166.6
West Lake Bonney,2022-11-23,10,,654,23,88,92,,1259,4.1,198.2
West Lake Bonney,2022-11-23,12,,909,34,134,112,,1829,,227.5
West Lake Bonney,2022-11-23,13,,1084,45,176,128,,2245,8.6,252.8
West Lake Bonney,2022-11-23,14,0.1,1638,75,310,169,,3539,18,321.8
West Lake Bonney,2022-11-23,15,0.2,2515,119,536,237,,5603,28,432.5
West Lake Bonney,2022-11-23,17,,9260,327,2280,675,,21822,106,1791.1
West Lake Bonney,2022-11-23,20,1.9,22852,735,5049,1503,,51502,219,3905.8
West Lake Bonney,2022-11-23,22,1.9,23909,784,5265,1544,,54688,244,4023.0
West Lake Bonney,2022-11-23,25,2.9,30354,1041,6831,1697,,69156,332,4438.8
West Lake Bonney,2022-11-23,27,3.4,32655,1129,7336,1672,,73716,322,4384.0
West Lake Bonney,2022-11-23,30,3.6,35201,1237,7960,1754,,79004,372,4514.6
West Lake Bonney,2022-11-23,35,3.7,37959,1314,8626,1863,,84674,393,4677.0
West Lake Bonney,2022-11-23,42.5,3.6,39554,1367,8779,1891,,87730,379,4651.0
,,,,,,,,,,,
,,,,,,,,,,,
West Lake Bonney,2022-12-15,3.5,0.017,142,6.65,21.1,36.4,0.22,283,0.90,81
West Lake Bonney,2022-12-15,5,0.021,203,9.25,29.4,49.6,0.27,388,1.2,111
West Lake Bonney,2022-12-15,6,0.037,364,15.5,50.9,69.4,0.32,710,2.3,161
West Lake Bonney,2022-12-15,8,0.083,571,21.0,74.2,77.7,0.47,1142,3.7,194
West Lake Bonney,2022-12-15,10,0.074,629,21.8,81.6,82.0,0.54,1238,4.2,200
West Lake Bonney,2022-12-15,12,0.12,956,36.6,138,108,0.83,1960,7.8,246
West Lake Bonney,2022-12-15,13,0.16,1319,57.0,218,131,0.88,2827,13,294
West Lake Bonney,2022-12-15,14,0.22,1876,85.9,351,161,1.58,4176,22,366
West Lake Bonney,2022-12-15,15,0.34,3056,144,645,225,,7058,46,536
West Lake Bonney,2022-12-15,17,1.4,8818,298,2158,651,,21286,115,1787
West Lake Bonney,2022-12-15,20,2.9,23163,738,5228,1779,,53310,229,4046
West Lake Bonney,2022-12-15,22,3.0,24609,795,5553,1873,,56668,249,4147
West Lake Bonney,2022-12-15,25,3.9,30830,1059,7119,2022,,71088,347,4646
West Lake Bonney,2022-12-15,30,4.2,35671,1235,8285,2095,,82200,359,4735
West Lake Bonney,2022-12-15,35,4.6,38557,1323,8982,2237,,88944,396,4974
West Lake Bonney,2022-12-15,42.5,4.7,40330,1355,9189,2271,,92288,408,4981
