Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
,,30.73,7.6,199051.9483,553887.5413,19365.5,WLB
,,30.83,7.7,203333.3011,573253.0013,19365.5,WLB
,,30.93,7.8,207614.6539,592618.4612,19365.5,WLB
,,31.03,7.9,211896.0067,611983.9212,19365.5,WLB
,,31.13,8,216177.3595,631349.3811,19365.5,WLB
,,31.23,8.1,220719.774,655274.2346,23924.9,WLB
,,31.33,8.2,225262.1885,679199.0881,23924.9,WLB
,,31.43,8.3,229804.6029,703123.9416,23924.9,WLB
,,31.53,8.4,234347.0174,727048.7951,23924.9,WLB
,,31.63,8.5,238889.4319,750973.6487,23924.9,WLB
,,31.73,8.6,243431.8464,774898.5022,23924.9,WLB
,,31.83,8.7,247974.2609,798823.3557,23924.9,WLB
,,31.93,8.8,252516.6753,822748.2092,23924.9,WLB
,,32.03,8.9,257059.0898,846673.0627,23924.9,WLB
,,32.13,9,261601.5043,870597.9162,23924.9,WLB
,,32.23,9.1,265131.6374,898603.6362,28005.7,WLB
,,32.33,9.2,268661.7704,926609.3562,28005.7,WLB
,,32.43,9.3,272191.9035,954615.0761,28005.7,WLB
,,32.53,9.4,275722.0365,982620.7961,28005.7,WLB
,,32.63,9.5,279252.1696,1010626.516,28005.7,WLB
,,32.73,9.6,282782.3026,1038632.236,28005.7,WLB
,,32.83,9.7,286312.4357,1066637.956,28005.7,WLB
,,32.93,9.8,289842.5687,1094643.676,28005.7,WLB
,,33.03,9.9,293372.7018,1122649.396,28005.7,WLB
,,33.13,10,296902.8348,1150655.116,28005.7,WLB
,,33.23,10.1,299816.9589,1181826.574,31171.5,WLB
,,33.33,10.2,302731.0829,1212998.031,31171.5,WLB
,,33.43,10.3,305645.207,1244169.489,31171.5,WLB
,,33.53,10.4,308559.3311,1275340.946,31171.5,WLB
,,33.63,10.5,311473.4552,1306512.404,31171.5,WLB
,,33.73,10.6,314387.5792,1337683.862,31171.5,WLB
,,33.83,10.7,317301.7033,1368855.319,31171.5,WLB
,,33.93,10.8,320215.8274,1400026.777,31171.5,WLB
,,34.03,10.9,323129.9514,1431198.234,31171.5,WLB
,,34.13,11,326044.0755,1462369.692,31171.5,WLB
,,34.23,11.1,328839.606,1496345.925,33976.2,WLB
,,34.33,11.2,331635.1366,1530322.159,33976.2,WLB
,,34.43,11.3,334430.6671,1564298.392,33976.2,WLB
,,34.53,11.4,337226.1976,1598274.626,33976.2,WLB
,,34.63,11.5,340021.7282,1632250.859,33976.2,WLB
,,34.73,11.6,342817.2587,1666227.092,33976.2,WLB
,,34.83,11.7,345612.7892,1700203.326,33976.2,WLB
,,34.93,11.8,348408.3197,1734179.559,33976.2,WLB
,,35.03,11.9,351203.8503,1768155.793,33976.2,WLB
,,35.13,12,353999.3808,1802132.026,33976.2,WLB
,,35.23,12.1,356856.6474,1838936.769,36804.7,WLB
,,35.33,12.2,359713.914,1875741.513,36804.7,WLB
,,35.43,12.3,362571.1806,1912546.256,36804.7,WLB
,,35.53,12.4,365428.4472,1949351,36804.7,WLB
,,35.63,12.5,368285.7138,1986155.743,36804.7,WLB
,,35.73,12.6,371142.9803,2022960.486,36804.7,WLB
,,35.83,12.7,374000.2469,2059765.23,36804.7,WLB
,,35.93,12.8,376857.5135,2096569.973,36804.7,WLB
,,36.03,12.9,379714.7801,2133374.717,36804.7,WLB
,,36.13,13,382572.0467,2170179.46,36804.7,WLB
,,36.23,13.1,385277.6434,2209808.846,39629.4,WLB
,,36.33,13.2,387983.2401,2249438.232,39629.4,WLB
,,36.43,13.3,390688.8368,2289067.618,39629.4,WLB
,,36.53,13.4,393394.4335,2328697.004,39629.4,WLB
,,36.63,13.5,396100.0302,2368326.391,39629.4,WLB
,,36.73,13.6,398805.6268,2407955.777,39629.4,WLB
