location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
East Lake Bonney,1993-12-09,3.63,12182843.929399997,3420967.634,54608942.58508443,54608942.58508448,62.35290322580645,4.409567170162135,3.8406207951070335
East Lake Bonney,1995-10-20,3.646179245283019,12152113.466899997,3416159.716,54297576.28418442,54297576.284184486,62.3,4.324022642529261,3.9924485530546625
East Lake Bonney,1996-11-06,3.7732183908045975,12462435.799799997,3416159.716,53987253.95128444,53987253.95128448,62.3,4.271190285580158,3.8012750000000004
East Lake Bonney,1996-11-23,3.7800574712643678,12462435.799799997,3416159.716,53987253.95128443,53987253.95128448,62.3,4.285868184683221,3.7093221884498484
East Lake Bonney,1997-11-10,3.939636363636364,13080020.666199997,3416159.716,53369669.08488443,53369669.08488448,62.3,4.2119864406812475,3.90294435483871
East Lake Bonney,1997-12-01,3.7415000000000003,12462435.799799997,3416159.716,53987253.95128442,53987253.95128448,62.3,4.253421454253022,3.671734848484848
East Lake Bonney,1997-12-08,3.7615529411764705,12462435.799799997,3416159.716,53987253.95128442,53987253.95128448,62.3,4.2442376666791555,3.683086363636363
East Lake Bonney,1997-12-21,3.7731,12462435.799799997,3416159.716,53987253.95128443,53987253.95128448,62.3,4.2986409592497274,4.089992598684209
East Lake Bonney,1998-11-12,4.062769230769231,13316116.161699995,3406542.884,52450816.12758442,52450816.12758449,62.108333333333334,4.120416698147429,3.6694119496855344
East Lake Bonney,1998-12-10,4.085807065217391,13316116.161699995,3406542.884,52450816.12758443,52450816.12758449,62.1241935483871,4.197427118706884,3.855230582524272
East Lake Bonney,1999-11-09,4.206519021739131,13923703.951399997,3406542.884,51843228.33788442,51843228.33788449,62.1,3.860098532755187,3.4780227272727275
East Lake Bonney,2000-10-30,4.0760000000000005,13242896.096099997,3396508.959,51843228.33788442,51843228.33788449,61.91904761904762,3.668431110297961,3.575431666666667
East Lake Bonney,2000-11-28,4.300542857142857,13846417.995099997,3396508.959,51239706.43888444,51239706.4388845,61.90063492063492,3.6338475909698675,3.4299614147909967
East Lake Bonney,2001-11-10,4.488914285714286,14404302.463399995,3391635.003,50342171.07468444,50342171.07468449,61.80723860589812,3.615120424092445,3.366517973856209
East Lake Bonney,2001-12-05,4.412492795389049,14404302.463399995,3391635.003,50342171.07468443,50342171.07468449,61.80053619302949,3.668991967736401,3.2622309523809525
East Lake Bonney,2001-12-29,4.392435158501441,14264845.441599997,3411414.902,51843228.337884426,51843228.33788449,62.24,3.585412770830215,3.408185876623376
