specCond,pred,location_name
0,0.3606770873762315,West Lake Bonney
0.1,0.41672697534504266,West Lake Bonney
0.2,0.4727768633139391,West Lake Bonney
0.30000000000000004,0.5288267512827503,West Lake Bonney
0.4,0.584876639251604,West Lake Bonney
0.5,0.6409265272204294,West Lake Bonney
0.6000000000000001,0.696976415189269,West Lake Bonney
0.7000000000000001,0.7530263031581228,West Lake Bonney
0.8,0.8090761911371516,West Lake Bonney
0.9,0.8651260856185985,West Lake Bonney
1,0.9211760160512057,West Lake Bonney
1.1,0.9772260230849099,West Lake Bonney
1.2000000000000002,1.033276183431468,West Lake Bonney
1.3,1.089326636090746,West Lake Bonney
1.4000000000000001,1.1453775923016423,West Lake Bonney
1.5,1.2014293387012316,West Lake Bonney
1.6,1.257482224841084,West Lake Bonney
1.7000000000000002,1.3135366655249499,West Lake Bonney
1.8,1.3695931217816764,West Lake Bonney
1.9000000000000001,1.4256521011940748,West Lake Bonney
2,1.481714157256775,West Lake Bonney
2.1,1.5377799091787523,West Lake Bonney
2.2,1.5938500296696532,West Lake Bonney
2.3000000000000003,1.6499252227103938,West Lake Bonney
2.4000000000000004,1.7060062449427278,West Lake Bonney
2.5,1.7620939163143277,West Lake Bonney
2.6,1.8181891171080622,West Lake Bonney
2.7,1.8742927757193115,West Lake Bonney
2.8000000000000003,1.9304058539297486,West Lake Bonney
2.9000000000000004,1.9865293497935141,West Lake Bonney
3,2.042664281266788,West Lake Bonney
3.1,2.0988116743300367,West Lake Bonney
3.2,2.1549725568952383,West Lake Bonney
3.3000000000000003,2.2111479636371527,West Lake Bonney
3.4000000000000004,2.2673389484163096,West Lake Bonney
3.5,2.323546600437986,West Lake Bonney
3.6,2.379772037082631,West Lake Bonney
3.7,2.436016393021042,West Lake Bonney
3.8000000000000003,2.4922808207338676,West Lake Bonney
3.9000000000000004,2.5485664892646938,West Lake Bonney
4,2.604874574139849,West Lake Bonney
4.1000000000000005,2.6612062593402896,West Lake Bonney
4.2,2.71756273850837,West Lake Bonney
4.3,2.773945210712924,West Lake Bonney
4.4,2.83035488132861,West Lake Bonney
4.5,2.886792957416276,West Lake Bonney
4.6000000000000005,2.9432606495883036,West Lake Bonney
4.7,2.999759171840246,West Lake Bonney
4.800000000000001,3.056289741601745,West Lake Bonney
4.9,3.1128535795650265,West Lake Bonney
5,3.1694519083828894,West Lake Bonney
5.1000000000000005,3.226085952327338,West Lake Bonney
5.2,3.2827569420177483,West Lake Bonney
5.300000000000001,3.3394661128048924,West Lake Bonney
5.4,3.3962147071156252,West Lake Bonney
5.5,3.453003972294809,West Lake Bonney
5.6000000000000005,3.509835156248954,West Lake Bonney
5.7,3.5667095078069977,West Lake Bonney
5.800000000000001,3.6236282765599412,West Lake Bonney
5.9,3.680592712438518,West Lake Bonney
6,3.7376040653773686,West Lake Bonney
6.1000000000000005,3.7946635853295803,West Lake Bonney
6.2,3.851772522377807,West Lake Bonney
6.300000000000001,3.908932126626418,West Lake Bonney
6.4,3.96614364814333,West Lake Bonney
6.5,4.023408336935695,West Lake Bonney
6.6000000000000005,4.08072744212307,West Lake Bonney
6.7,4.13810221094284,West Lake Bonney
6.800000000000001,4.195533888662467,West Lake Bonney
6.9,4.253023718070914,West Lake Bonney
7,4.310572938118277,West Lake Bonney
7.1000000000000005,4.368182783227105,West Lake Bonney
7.2,4.425854484132273,West Lake Bonney
7.300000000000001,4.483589269236546,West Lake Bonney
7.4,4.541388365124597,West Lake Bonney
7.5,4.599252996687277,West Lake Bonney
7.6000000000000005,4.6571843865798,West Lake Bonney
7.7,4.715183754496735,West Lake Bonney
7.800000000000001,4.773252316444797,West Lake Bonney
7.9,4.831391287687957,West Lake Bonney
8,4.889601880052155,West Lake Bonney
8.1,4.947885302369535,West Lake Bonney
8.200000000000001,5.006242763367588,West Lake Bonney
8.3,5.064675471773668,West Lake Bonney
8.4,5.12318463631518,West Lake Bonney
8.5,5.181771465719571,West Lake Bonney
8.6,5.2404371679754504,West Lake Bonney
8.700000000000001,5.299182947534568,West Lake Bonney
8.8,5.3580100043813985,West Lake Bonney
8.9,5.416919534083846,West Lake Bonney
9,5.47591273112473,West Lake Bonney
9.1,5.534990789646088,West Lake Bonney
9.200000000000001,5.594154900506041,West Lake Bonney
9.3,5.653406251242458,West Lake Bonney
9.4,5.712746020685444,West Lake Bonney
